IsUrban,NTLBin,NTLArea,X+AF8-deg,Y+AF8-deg,GridCellArea,ID,Pop,Elevation,LandCover,NightLights,Slope,GHI,TravelHours,WindVel,SubstationDist,RoadDist,CurrentMVLineDist,PlannedMVLinedist,Hydropower,HydropowerFID,HydropowerDist,X,Y,CurrentHVLineDist,PlannedHVLineDist,TransformerDist,ResidentialDemandTierCustom,NTLBin.1,PerCapitaDemand,HealthDemand,EducationDemand,AgriDemand,ElectrificationOrder,Conflict,CommercialDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,Country,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,PopEndYear,Pop2023,Pop2030,Pop2018,ElecPop,ElecStart,GridDistCalibElec,Elec+AF8-Initial+AF8-Status+AF8-Grid2018,Elec+AF8-Init+AF8-Status+AF8-Offgrid2018,Actual+AF8-Elec+AF8-Status+AF8-2018,FinalElecCode2018,GridReachYear,NumPeoplePerHH,TotalEnergyPerCell,InvestmentCostLV2030,InvestmentCostMV2030,InvestmentCostHV2030,InvestmentCostTransformer2030,InvestmentCostConnection2030,InfrastructureCapitaCost2030,ResultsNoTimestep,NewConnections2023,EnergyPerSettlement2023,MG+AF8-Hydro2023,MG+AF8-PV2023,MG+AF8-Wind2023,MG+AF8-Diesel2023,SA+AF8-Diesel2023,SA+AF8-PV2023,Minimum+AF8-Tech+AF8-Off+AF8-grid2023,Minimum+AF8-LCOE+AF8-Off+AF8-grid2023,Off+AF8-Grid+AF8-Code2023,Elec+AF8-Initial+AF8-Status+AF8-Grid2023,Elec+AF8-Init+AF8-Status+AF8-Offgrid2023,Actual+AF8-Elec+AF8-Status+AF8-2023,Grid+AF8-extension2023,MinGridDist2023,ElectrificationOrder2023,MinimumOverall2023,MinimumOverallLCOE2023,MinimumOverallCode2023,InvestmentCost2023,InvestmentCapita2023,ElecStatusIn2023,GridElecIn2023,OffGridElecIn2023,FinalElecCode2023,NewCapacity2023,InvestmentCostLV2023,InvestmentCostMV2023,InvestmentCostHV2023,InvestmentCostTransformer2023,InvestmentCostConnection2023,InfrastructureCapitaCost2023,NewConnections2030,EnergyPerSettlement2030,MG+AF8-Hydro2030,MG+AF8-PV2030,MG+AF8-Wind2030,MG+AF8-Diesel2030,SA+AF8-Diesel2030,SA+AF8-PV2030,Minimum+AF8-Tech+AF8-Off+AF8-grid2030,Minimum+AF8-LCOE+AF8-Off+AF8-grid2030,Off+AF8-Grid+AF8-Code2030,Elec+AF8-Initial+AF8-Status+AF8-Grid2030,Elec+AF8-Init+AF8-Status+AF8-Offgrid2030,Actual+AF8-Elec+AF8-Status+AF8-2030,Grid+AF8-extension2030,MinGridDist2030,ElectrificationOrder2030,MinimumOverall2030,MinimumOverallLCOE2030,MinimumOverallCode2030,InvestmentCost2030,ElecStatusIn2030,GridElecIn2030,OffGridElecIn2030,FinalElecCode2030,NewCapacity2030
0,0,0.04,33.15197,+AC0-13.63426,0.008,168913,4.409489362,1081,9,0.04,0.23383,2064,1.76667,4.93494,68.52644,2.72565,4.84459,4.84459,221,2216,19.43705,3264464.187,+AC0-1679699.843,14.65204128,14.65204128,5.42712,102,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.073960133,4.943565738,7.120597504,5.755353877,7.120597504,4.943565738,0,0,5.42712,0,0,0,99,2018,5.5,311.8821707,0,0,0,0,0,0,3,5.755353877,252.0844998,99,2.219151506,99,2.741990675,0.783331557,0.372604448,SA+AF8-PV2023,0.372604448,3,0,0,0,99,0,0,SA+AF8-PV2023,0.372604448,3,746.3742189,129.6834625,0,0,0,99,0,0,0,0,0,0,0,7.120597504,311.8821707,99,1.872588246,99,2.389652789,0.779465126,0.381895806,SA+AF8-PV2030,0.381895806,3,0,0,1,99,0,0,SA+AF8-PV2030,0.381895806,3,628.4666809,1,0,1,3,0.167895225
0,0,0.04,33.15197,+AC0-9.55921,0.009,168962,4.419922553,1361,9,0.04,4.03018,2148,2.16667,5.2753,93.37236,0.70433,4.67872,4.67872,337,3052,56.16623,3294035.445,+AC0-1179845.205,20.69182191,20.69182191,8.31072,31.31746032,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.092794233,4.955262595,7.137445386,5.768971487,7.137445386,4.955262595,0,0,8.31072,0,0,0,99,2018,5.5,312.6201079,0,0,0,0,0,0,3,5.768971487,252.6809511,99,2.220599435,99,2.751565594,0.803443079,0.358033324,SA+AF8-PV2023,0.358033324,3,0,0,0,99,0,0,SA+AF8-PV2023,0.358033324,3,718.8833184,124.6120422,0,0,0,99,0,0,0,0,0,0,0,7.137445386,312.6201079,99,1.873323283,99,2.398644541,0.799576647,0.366961333,SA+AF8-PV2030,0.366961333,3,0,0,1,99,0,0,SA+AF8-PV2030,0.366961333,3,605.3186213,1,0,1,3,0.161711208
0,0,0.04,33.15197,+AC0-13.82343,0.008,168967,4.444074894,1091,9,0.04,0.47939,2049,1.26667,4.7961,58.76204,2.27114,3.26985,3.26985,221,2216,16.44408,3262837.703,+AC0-1702831.575,1.99972256,1.99972256,3.28754,60.11111111,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.066775245,4.982340262,7.17644743,5.800495606,7.17644743,4.982340262,0,0,3.28754,0,0,0,99,2018,5.5,314.3283974,0,0,0,0,0,0,3,5.800495606,254.0617075,99,2.205503033,99,2.724979402,0.758192156,0.375332152,SA+AF8-PV2023,0.375332152,3,0,0,0,99,0,0,SA+AF8-PV2023,0.375332152,3,757.7351507,130.632829,0,0,0,99,0,0,0,0,0,0,0,7.17644743,314.3283974,99,1.861618826,99,2.375350802,0.754325724,0.38469153,SA+AF8-PV2030,0.38469153,3,0,0,1,99,0,0,SA+AF8-PV2030,0.38469153,3,638.0328838,1,0,1,3,0.170450842
0,0,0.04,33.15197,+AC0-13.48592,0.008,169022,4.55907234,1067,9,0.04,0.42783,2076,2.1,4.90049,61.33562,4.06243,3.99551,3.99551,221,2216,32.78411,3265723.805,+AC0-1661556.346,5.92384489,5.92384489,4.17049,63.33333333,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.072148794,5.111266174,7.362149324,5.950592577,7.362149324,5.111266174,0,0,4.17049,0,0,0,99,2018,5.5,322.4621404,0,0,0,0,0,0,3,5.950592577,260.6359549,99,2.155302258,99,2.675268681,0.800090991,0.370450665,SA+AF8-PV2023,0.370450665,3,0,0,0,99,0,0,SA+AF8-PV2023,0.370450665,3,767.2327937,128.9338471,0,0,0,99,0,0,0,0,0,0,0,7.362149324,322.4621404,99,1.819955594,99,2.334354361,0.79622456,0.379688316,SA+AF8-PV2030,0.379688316,3,0,0,1,99,0,0,SA+AF8-PV2030,0.379688316,3,646.0301484,1,0,1,3,0.172587316
0,0,0.04,33.15197,+AC0-13.27592,0.008,169023,5.47626383,1081,9,0.04,0.49523,2073,2.41667,5.15407,44.67198,3.42724,3.60594,3.60594,3862,12100,50.94878,3267483.377,+AC0-1635862.697,6.44448156,6.44448156,3.75011,102,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.085898976,6.139547694,8.843262192,7.147729289,8.843262192,6.139547694,0,0,3.75011,0,0,0,99,2018,5.5,387.334884,0,0,0,0,0,0,3,7.147729289,313.0705429,99,1.844508103,99,2.34236335,0.81601278,0.370986773,SA+AF8-PV2023,0.370986773,3,0,0,0,99,0,0,SA+AF8-PV2023,0.370986773,3,922.917932,129.1204374,0,0,0,99,0,0,0,0,0,0,0,8.843262192,387.334884,99,1.564669081,99,2.057910376,0.812146348,0.380237793,SA+AF8-PV2030,0.380237793,3,0,0,1,99,0,0,SA+AF8-PV2030,0.380237793,3,777.1211209,1,0,1,3,0.207608342
0,0,0.04,33.15197,+AC0-13.69759,0.008,169026,5.527788085,1096,9,0.04,0.53695,2057,1.51667,4.97932,64.66995,0.01182,1.90744,1.90744,221,2216,15.62987,3263922.149,+AC0-1687445.181,11.91555968,11.91555968,1.86226,48.33333333,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.076320606,6.197312555,8.92646536,7.214979779,8.92646536,6.197312555,0,0,1.86226,0,0,0,99,2018,5.5,390.9791828,0,0,0,0,0,0,3,7.214979779,316.0161143,99,1.831395049,99,2.325026673,0.770761857,0.373872426,SA+AF8-PV2023,0.373872426,3,0,0,0,99,0,0,SA+AF8-PV2023,0.373872426,3,938.8476361,130.1247772,0,0,0,99,0,0,0,0,0,0,0,8.92646536,390.9791828,99,1.554147339,99,2.043192385,0.766895425,0.383195403,SA+AF8-PV2030,0.383195403,3,0,0,1,99,0,0,SA+AF8-PV2030,0.383195403,3,790.5343499,1,0,1,3,0.211191694
0,0,0.04,33.15197,+AC0-13.30092,0.008,169030,6.516606808,1073,9,0.04,0.34761,2079,1.88333,5.14736,46.36021,0.74007,2.30909,2.30909,3862,12100,50.68852,3267275.361,+AC0-1638921.912,4.97100116,4.97100116,2.35238,102,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.085523134,7.305896783,10.52324439,8.505605791,10.52324439,7.305896783,0,0,2.35238,0,0,0,99,2018,5.5,460.9181043,0,0,0,0,0,0,3,8.505605791,372.5455336,99,1.596179959,99,2.075493856,0.789197083,0.369916104,SA+AF8-PV2023,0.369916104,3,0,0,0,99,0,0,SA+AF8-PV2023,0.369916104,3,1095.077994,128.7477954,0,0,0,99,0,0,0,0,0,0,0,10.52324439,460.9181043,99,1.360471545,99,1.835932646,0.785330651,0.379140425,SA+AF8-PV2030,0.379140425,3,0,0,1,99,0,0,SA+AF8-PV2030,0.379140425,3,922.0844121,1,0,1,3,0.246335367
0,0,0.04,33.15197,+AC0-13.57676,0.008,169031,6.903365106,1108,9,0.04,0.30253,2071,1.58333,5.02721,72.43807,0.03342,0.20138,0.20138,221,2216,24.16722,3264954.112,+AC0-1672667.204,11.26916486,11.26916486,2.21634,48.87996032,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.078901219,7.739499161,11.1477952,9.010410472,11.1477952,7.739499161,0,0,2.21634,0,0,0,99,2018,5.5,488.2734298,0,0,0,0,0,0,3,9.010410472,394.6559787,99,1.52353938,99,1.996272952,0.774113442,0.371345041,SA+AF8-PV2023,0.371345041,3,0,0,0,99,0,0,SA+AF8-PV2023,0.371345041,3,1164.551683,129.2451312,0,0,0,99,0,0,0,0,0,0,0,11.1477952,488.2734298,99,1.300874698,99,1.769968863,0.77024701,0.380604995,SA+AF8-PV2030,0.380604995,3,0,0,1,99,0,0,SA+AF8-PV2030,0.380604995,3,980.5830813,1,0,1,3,0.261963319
0,0,0.04,33.15197,+AC0-13.59676,0.008,169063,7.057495319,1091,9,0.04,0.45283,2068,1.7,4.88938,71.03733,1.81592,1.69874,1.69874,221,2216,22.43063,3264783.939,+AC0-1675113.413,12.44622115,12.44622115,2.06589,48.87996032,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.071568609,7.912297591,11.39669005,9.211584315,11.39669005,7.912297591,0,0,2.06589,0,0,0,99,2018,5.5,499.1750242,0,0,0,0,0,0,3,9.211584315,403.467393,99,1.496787883,99,1.967558472,0.77997947,0.371883743,SA+AF8-PV2023,0.371883743,3,0,0,0,99,0,0,SA+AF8-PV2023,0.371883743,3,1192.27953,129.4326241,0,0,0,99,0,0,0,0,0,0,0,11.39669005,499.1750242,99,1.278925542,99,1.746135052,0.776113038,0.38115713,SA+AF8-PV2030,0.38115713,3,0,0,1,99,0,0,SA+AF8-PV2030,0.38115713,3,1003.930656,1,0,1,3,0.268200636
0,0,0.04,33.15197,+AC0-9.56255,0.009,169064,7.118346383,1401,9,0.04,3.8171,2136,2.23333,5.2753,93.19848,0.97322,4.56876,4.56876,337,3052,56.1296,3294015.518,+AC0-1180255.157,20.41699236,20.41699236,8.45318,31.31746032,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.092794233,7.980518923,11.49495448,9.291008343,11.49495448,7.980518923,0,0,8.45318,0,0,0,99,2018,5.5,503.4790062,0,0,0,0,0,0,3,9.291008343,406.9461654,99,1.490464472,99,1.967723217,0.806794664,0.360044747,SA+AF8-PV2023,0.360044747,3,0,0,0,99,0,0,SA+AF8-PV2023,0.360044747,3,1164.275858,125.3121099,0,0,0,99,0,0,0,0,0,0,0,11.49495448,503.4790062,99,1.273334634,99,1.747158529,0.802928232,0.369022914,SA+AF8-PV2030,0.369022914,3,0,0,1,99,0,0,SA+AF8-PV2030,0.369022914,3,980.3508293,1,0,1,3,0.261901272
