areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw1,536,mini-grid,61.64,54736.32,4561.36
mw2,4667,solar,291.6875,93923.375,9042.3125
mw3,1321,Mini-grid,105.68,94689.28,7503.28
mw4,3292,grid,148.14,131252.04,8147.7
mw5,3510,stand-alone-diesel,35.1,23692.5,3369.6
mw6,4928,stand-alone-diesel,86.24,75718.72,4398.24
mw7,4368,stand-alone-photovoltaic,283.92,113000.16,22713.6
mw8,1635,mini-grid,4.0875,457.8,290.2125
mw9,1656,grid,124.2,118486.8,5340.6
mw10,3646,stand-alone-photovoltaic,428.405,251473.735,19278.225
mw11,2823,grid,239.955,154531.02,8638.38
mw12,1746,stand-alone-diesel,109.125,67002.75,3055.5
mw13,2558,mini-grid,153.48,73209.96,8594.88
mw14,3079,stand-alone-diesel,207.8325,106202.4075,6442.8075
mw15,3185,grid,238.875,79067.625,18632.25
mw16,1729,mini-grid,4.3225,2883.1075,207.48
mw17,1864,grid,111.84,14539.2,2348.64
mw18,656,stand-alone-diesel,9.84,2145.12,659.28
mw19,2663,mini-grid,206.3825,68518.99,16510.6
mw20,4041,grid,131.3325,27185.8275,9324.6075
mw21,2911,stand-alone-diesel,261.99,219547.62,9431.64
mw22,4520,grid,293.8,206541.4,13221
mw23,3600,stand-alone-diesel,198,28512,10692
mw24,4626,stand-alone-diesel,451.035,158313.285,13982.085
mw25,2300,mini-grid,132.25,59248,13225
mw26,2357,grid,76.6025,27653.5025,7507.045
mw27,1508,grid,128.18,58962.8,2948.14
mw28,1295,grid,51.8,30458.4,1657.6
mw29,3685,stand-alone-diesel,147.4,92419.8,3537.6
mw30,4764,stand-alone-photovoltaic,369.21,239248.08,26213.91
mw31,3584,stand-alone-photovoltaic,44.8,11424,1120
mw32,2407,mini-grid,216.63,132794.19,11048.13
mw33,3553,stand-alone-diesel,426.36,66938.52,11938.08
mw34,4538,stand-alone-diesel,306.315,48397.77,24198.885
mw35,3247,stand-alone-photovoltaic,275.995,99634.195,6071.89
mw36,934,stand-alone-diesel,63.045,18787.41,2143.53
mw37,1443,grid,36.075,7575.75,1551.225
mw38,3562,grid,445.25,367776.5,41853.5
mw39,1712,stand-alone-photovoltaic,124.12,40090.76,4592.44
mw40,852,stand-alone-photovoltaic,97.98,67214.28,4213.14
mw41,1452,stand-alone-diesel,76.23,41316.66,4954.95
mw42,2338,stand-alone-diesel,286.405,165828.495,19189.135
mw43,2322,grid,81.27,47624.22,6826.68
mw44,2424,stand-alone-diesel,66.66,8265.84,3066.36
mw45,2409,stand-alone-diesel,72.27,11707.74,2384.91
mw46,2829,mini-grid,332.4075,57838.905,16952.7825
mw47,4170,mini-grid,344.025,155843.325,20297.475
mw48,2451,stand-alone-diesel,128.6775,125589.24,10422.8775
mw49,3443,stand-alone-diesel,94.6825,91557.9775,2556.4275
mw50,3375,stand-alone-photovoltaic,236.25,152853.75,17955
mw51,2574,stand-alone-photovoltaic,38.61,23745.15,2934.36
mw52,915,grid,68.625,38635.875,5558.625
mw53,2263,stand-alone-photovoltaic,271.56,150172.68,26069.76
mw54,2930,mini-grid,73.25,71565.25,4028.75
mw55,1531,stand-alone-diesel,22.965,21173.73,2181.675
mw56,1471,grid,40.4525,33575.575,2103.53
mw57,3383,stand-alone-photovoltaic,76.1175,25956.0675,1979.055
mw58,4999,stand-alone-diesel,587.3825,110427.91,56976.1025
mw59,2110,grid,174.075,96959.775,13229.7
mw60,4566,stand-alone-photovoltaic,79.905,23332.26,2716.77
mw61,1746,stand-alone-photovoltaic,117.855,83323.485,3889.215
mw62,1289,grid,80.5625,59857.9375,2175.1875
mw63,2746,stand-alone-diesel,102.975,47265.525,6693.375
mw64,3872,stand-alone-photovoltaic,290.4,155073.6,6969.6
mw65,4794,stand-alone-diesel,107.865,45734.76,6256.17
mw66,590,grid,41.3,14042,3427.9
mw67,1710,stand-alone-photovoltaic,162.45,105917.4,9259.65
mw68,3743,grid,159.0775,26725.02,3817.86
mw69,2334,stand-alone-photovoltaic,17.505,11833.38,385.11
mw70,736,grid,3.68,2653.28,213.44
mw71,595,mini-grid,10.4125,7142.975,1030.8375
mw72,2148,mini-grid,42.96,41155.68,1804.32
mw73,828,mini-grid,35.19,23577.3,774.18
mw74,1017,stand-alone-photovoltaic,124.5825,97174.35,3363.7275
mw75,3663,stand-alone-photovoltaic,357.1425,202499.7975,28214.2575
mw76,3878,stand-alone-diesel,135.73,25110.05,5564.93
mw77,3618,stand-alone-diesel,144.72,114328.8,3473.28
mw78,1906,grid,219.19,110910.14,12713.02
