areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw1,536,mini-grid,56.28,41309.52,1857.24
mw2,4667,solar,361.6925,303460.0075,26041.86
mw3,1321,Mini-grid,62.7475,44613.4725,5898.265
mw4,3292,grid,41.15,16665.75,823
mw5,3510,stand-alone-diesel,315.9,248929.2,16742.7
mw6,4928,stand-alone-diesel,517.44,501916.8,42947.52
mw7,4368,stand-alone-photovoltaic,305.76,238798.56,13147.68
mw8,1635,mini-grid,102.1875,89925,8175
mw9,1656,grid,12.42,8644.32,770.04
mw10,3646,stand-alone-photovoltaic,200.53,133753.51,19250.88
mw11,2823,grid,21.1725,5123.745,1143.315
mw12,1746,stand-alone-diesel,139.68,104620.32,12431.52
mw13,2558,mini-grid,204.64,180287.84,11664.48
mw14,3079,stand-alone-diesel,384.875,305975.625,13470.625
mw15,3185,grid,151.2875,63692.0375,3025.75
mw16,1729,mini-grid,216.125,68295.5,11238.5
mw17,1864,grid,214.36,60449.52,5144.64
mw18,656,stand-alone-diesel,21.32,17290.52,724.88
mw19,2663,mini-grid,239.67,35471.16,13421.52
mw20,4041,grid,343.485,106823.835,29539.71
mw21,2911,stand-alone-diesel,152.8275,80081.61,14212.9575
mw22,4520,grid,406.8,142380,14644.8
mw23,3600,stand-alone-diesel,261,115623,11223
mw24,4626,stand-alone-diesel,439.47,326965.68,13184.1
mw25,2300,mini-grid,207,77211,7659
mw26,2357,grid,47.14,32102.34,1979.88
mw27,1508,grid,79.17,34913.97,7204.47
mw28,1295,grid,6.475,3632.475,233.1
mw29,3685,stand-alone-diesel,110.55,20009.55,8844
mw30,4764,stand-alone-photovoltaic,23.82,3644.46,1857.96
mw31,3584,stand-alone-photovoltaic,89.6,61644.8,2777.6
mw32,2407,mini-grid,42.1225,40437.6,3959.515
mw33,3553,stand-alone-diesel,44.4125,13101.6875,3064.4625
mw34,4538,stand-alone-diesel,363.04,303138.4,33036.64
mw35,3247,stand-alone-photovoltaic,162.35,129392.95,9091.6
mw36,934,stand-alone-diesel,112.08,50548.08,5379.84
mw37,1443,grid,158.73,46190.43,4285.71
mw38,3562,grid,35.62,26608.14,3027.7
mw39,1712,stand-alone-photovoltaic,47.08,30649.08,2871.88
mw40,852,stand-alone-photovoltaic,76.68,20396.88,6901.2
mw41,1452,stand-alone-diesel,170.61,159008.52,6824.4
mw42,2338,stand-alone-diesel,163.66,27003.9,11128.88
mw43,2322,grid,139.32,44025.12,11006.28
mw44,2424,stand-alone-diesel,18.18,13562.28,1345.32
mw45,2409,stand-alone-diesel,90.3375,85188.2625,5058.9
mw46,2829,mini-grid,304.1175,32540.5725,30107.6325
mw47,4170,mini-grid,385.725,108774.45,22757.775
mw48,2451,stand-alone-diesel,251.2275,81648.9375,13566.285
mw49,3443,stand-alone-diesel,430.375,329667.25,33138.875
mw50,3375,stand-alone-photovoltaic,33.75,3476.25,2666.25
mw51,2574,stand-alone-photovoltaic,212.355,121891.77,7007.715
mw52,915,grid,50.325,33516.45,2616.9
mw53,2263,stand-alone-photovoltaic,96.1775,58860.63,6828.6025
mw54,2930,mini-grid,102.55,37225.65,6973.4
mw55,1531,stand-alone-diesel,149.2725,120462.9075,6717.2625
mw56,1471,grid,80.905,19659.915,7847.785
mw57,3383,stand-alone-photovoltaic,312.9275,82299.9325,23782.49
mw58,4999,stand-alone-diesel,12.4975,12272.545,649.87
mw59,2110,grid,121.325,79346.55,4974.325
mw60,4566,stand-alone-photovoltaic,513.675,480799.8,28252.125
mw61,1746,stand-alone-photovoltaic,96.03,36299.34,4321.35
mw62,1289,grid,61.2275,39063.145,3183.83
mw63,2746,stand-alone-diesel,247.14,65244.96,9391.32
mw64,3872,stand-alone-photovoltaic,48.4,33202.4,3630
mw65,4794,stand-alone-diesel,299.625,165692.625,28764
mw66,590,grid,41.3,25482.1,1941.1
mw67,1710,stand-alone-photovoltaic,94.05,31412.7,7241.85
mw68,3743,grid,271.3675,98235.035,25779.9125
mw69,2334,stand-alone-photovoltaic,291.75,35593.5,18088.5
