areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw1,536,mini-grid,28.14,24903.9,2785.86
mw2,4667,solar,175.0125,31327.2375,15751.125
mw3,1321,Mini-grid,161.8225,89164.1975,10518.4625
mw4,3292,grid,24.69,24615.93,2419.62
mw5,3510,stand-alone-diesel,368.55,351965.25,32800.95
mw6,4928,stand-alone-diesel,616,214984,16016
mw7,4368,stand-alone-photovoltaic,120.12,52972.92,5285.28
mw8,1635,mini-grid,85.8375,71588.475,7382.025
mw9,1656,grid,157.32,106505.64,5506.2
mw10,3646,stand-alone-photovoltaic,346.37,136123.41,7620.14
mw11,2823,grid,127.035,68217.795,8765.415
mw12,1746,stand-alone-diesel,178.965,149972.67,15748.92
mw13,2558,mini-grid,153.48,18417.6,5832.24
mw14,3079,stand-alone-diesel,246.32,91631.04,17981.36
mw15,3185,grid,191.1,72044.7,12612.6
mw16,1729,mini-grid,211.8025,185962.595,11860.94
mw17,1864,grid,153.78,28756.86,11841.06
mw18,656,stand-alone-diesel,54.12,20890.32,5303.76
mw19,2663,mini-grid,219.6975,99083.5725,14719.7325
mw20,4041,grid,242.46,99651.06,18426.96
mw21,2911,stand-alone-diesel,181.9375,174660,6731.6875
mw22,4520,grid,565,506805,26555
mw23,3600,stand-alone-diesel,126,27720,6804
mw24,4626,stand-alone-diesel,185.04,36452.88,14433.12
mw25,2300,mini-grid,270.25,267007,24863
mw26,2357,grid,206.2375,165608.7125,17942.6625
mw27,1508,grid,98.02,89786.32,3920.8
mw28,1295,grid,126.2625,75757.5,9090.9
mw29,3685,stand-alone-diesel,405.35,214430.15,19456.8
mw30,4764,stand-alone-photovoltaic,333.48,228433.8,20675.76
mw31,3584,stand-alone-photovoltaic,179.2,36198.4,11827.2
mw32,2407,mini-grid,180.525,31230.825,4152.075
mw33,3553,stand-alone-diesel,168.7675,79658.26,15020.3075
mw34,4538,stand-alone-diesel,102.105,82705.05,7862.085
mw35,3247,stand-alone-photovoltaic,211.055,28070.315,5698.485
mw36,934,stand-alone-diesel,23.35,9877.05,747.2
mw37,1443,grid,18.0375,10732.3125,1551.225
mw38,3562,grid,284.96,185224,9403.68
mw39,1712,stand-alone-photovoltaic,89.88,15009.96,8089.2
mw40,852,stand-alone-photovoltaic,36.21,9595.65,905.25
mw41,1452,stand-alone-diesel,43.56,25047,2482.92
mw42,2338,stand-alone-diesel,286.405,44679.18,11169.795
mw43,2322,grid,208.98,30720.06,18808.2
mw44,2424,stand-alone-diesel,66.66,30063.66,4666.2
mw45,2409,stand-alone-diesel,271.0125,162336.4875,18157.8375
mw46,2829,mini-grid,233.3925,98958.42,17271.045
mw47,4170,mini-grid,72.975,60861.15,5473.125
mw48,2451,stand-alone-diesel,275.7375,153310.05,20956.05
mw49,3443,stand-alone-diesel,421.7675,321808.6025,25306.05
mw50,3375,stand-alone-photovoltaic,320.625,139151.25,30780
mw51,2574,stand-alone-photovoltaic,45.045,4684.68,2927.925
mw52,915,grid,91.5,48769.5,7960.5
mw53,2263,stand-alone-photovoltaic,67.89,46776.21,2919.27
mw54,2930,mini-grid,117.2,99620,8321.2
mw55,1531,stand-alone-diesel,76.55,34524.05,6047.45
mw56,1471,grid,154.455,62245.365,15291.045
mw57,3383,stand-alone-photovoltaic,50.745,24509.835,5074.5
mw58,4999,stand-alone-diesel,37.4925,33068.385,974.805
mw59,2110,grid,147.7,23188.9,12111.4
mw60,4566,stand-alone-photovoltaic,91.32,49769.4,2465.64
mw61,1746,stand-alone-photovoltaic,65.475,62332.2,4124.925
mw62,1289,grid,103.12,89817.52,2474.88
mw63,2746,stand-alone-diesel,123.57,98238.15,10009.17
mw64,3872,stand-alone-photovoltaic,387.2,47238.4,7744
mw65,4794,stand-alone-diesel,239.7,104509.2,11026.2
mw66,590,grid,56.05,13003.6,4371.9
mw67,1710,stand-alone-photovoltaic,209.475,78972.075,11940.075
mw68,3743,grid,46.7875,41594.0875,3368.7
mw69,2334,stand-alone-photovoltaic,180.885,157369.95,17364.96
mw70,736,grid,47.84,14639.04,3253.12
mw71,595,mini-grid,46.1125,12450.375,3273.9875
mw72,2148,mini-grid,204.06,84072.72,7754.28
mw73,828,mini-grid,39.33,28160.28,2949.75
mw74,1017,stand-alone-photovoltaic,81.36,31242.24,3579.84
mw75,3663,stand-alone-photovoltaic,201.465,141025.5,9670.32
mw76,3878,stand-alone-diesel,116.34,58286.34,3606.54
mw77,3618,stand-alone-diesel,45.225,32200.2,3844.125
mw78,1906,grid,71.475,69402.225,3502.275
mw79,4824,mini-grid,265.32,125761.68,23878.8
mw80,4607,stand-alone-photovoltaic,161.245,34183.94,5482.33
mw81,4802,stand-alone-photovoltaic,264.11,59424.75,22185.24
mw82,4029,grid,463.335,331747.86,12046.71
mw83,2335,stand-alone-photovoltaic,227.6625,128173.9875,18895.9875
mw84,3366,stand-alone-photovoltaic,92.565,31286.97,4350.555
mw85,534,stand-alone-photovoltaic,4.005,2711.385,212.265
