areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw1,536,mini-grid,45.56,8838.64,1822.4
mw2,4667,solar,326.69,213655.26,15027.74
mw3,1321,Mini-grid,46.235,15581.195,1017.17
mw4,3292,grid,74.07,68885.1,2073.96
mw5,3510,stand-alone-diesel,149.175,59371.65,3281.85
mw6,4928,stand-alone-diesel,431.2,93570.4,10780
mw7,4368,stand-alone-photovoltaic,404.04,173737.2,13333.32
mw8,1635,mini-grid,200.2875,65093.4375,7010.0625
mw9,1656,grid,111.78,59243.4,10954.44
mw10,3646,stand-alone-photovoltaic,27.345,15504.615,2707.155
mw11,2823,grid,70.575,34652.325,4446.225
mw12,1746,stand-alone-diesel,56.745,15548.13,3631.68
mw13,2558,mini-grid,51.16,7469.36,3581.2
mw14,3079,stand-alone-diesel,354.085,36470.755,15225.655
mw15,3185,grid,151.2875,83208.125,12708.15
mw16,1729,mini-grid,159.9325,111792.8175,5757.57
mw17,1864,grid,111.84,35341.44,8276.16
mw18,656,stand-alone-diesel,68.88,48353.76,3788.4
mw19,2663,mini-grid,319.56,101620.08,10225.92
mw20,4041,grid,191.9475,125341.7175,14396.0625
mw21,2911,stand-alone-diesel,7.2775,5501.79,363.875
mw22,4520,grid,406.8,161092.8,37425.6
mw23,3600,stand-alone-diesel,405,377865,12150
mw24,4626,stand-alone-diesel,474.165,150784.47,31769.055
mw25,2300,mini-grid,126.5,121313.5,2530
mw26,2357,grid,223.915,106583.54,8956.6
mw27,1508,grid,143.26,99708.96,6876.48
mw28,1295,grid,45.325,40248.6,2447.55
mw29,3685,stand-alone-diesel,36.85,19862.15,2984.85
mw30,4764,stand-alone-photovoltaic,285.84,93755.52,15435.36
mw31,3584,stand-alone-photovoltaic,304.64,219645.44,11271.68
mw32,2407,mini-grid,90.2625,65440.3125,5957.325
mw33,3553,stand-alone-diesel,328.6525,269166.3975,24320.285
mw34,4538,stand-alone-diesel,317.66,242056.92,7941.5
mw35,3247,stand-alone-photovoltaic,316.5825,315316.17,21211.0275
mw36,934,stand-alone-diesel,84.06,78932.34,8069.76
mw37,1443,grid,155.1225,47622.6075,11168.82
mw38,3562,grid,124.67,100733.36,10596.95
mw39,1712,stand-alone-photovoltaic,12.84,11042.4,693.36
mw40,852,stand-alone-photovoltaic,51.12,49279.68,2351.52
mw41,1452,stand-alone-diesel,105.27,23054.13,3158.1
mw42,2338,stand-alone-diesel,245.49,213330.81,11538.03
mw43,2322,grid,255.42,93739.14,10216.8
mw44,2424,stand-alone-diesel,199.98,64793.52,16398.36
mw45,2409,stand-alone-diesel,180.675,52034.4,13189.275
mw46,2829,mini-grid,240.465,148607.37,10580.46
mw47,4170,mini-grid,104.25,74330.25,2814.75
mw48,2451,stand-alone-diesel,140.9325,33541.935,9724.3425
mw49,3443,stand-alone-diesel,120.505,99778.14,11929.995
mw50,3375,stand-alone-photovoltaic,118.125,20553.75,11812.5
mw51,2574,stand-alone-photovoltaic,135.135,35135.1,10945.935
mw52,915,grid,61.7625,59044.95,3829.275
mw53,2263,stand-alone-photovoltaic,152.7525,98983.62,8401.3875
mw54,2930,mini-grid,43.95,39994.5,1362.45
mw55,1531,stand-alone-diesel,126.3075,62648.52,3662.9175
mw56,1471,grid,47.8075,46899.1575,3537.755
mw57,3383,stand-alone-photovoltaic,312.9275,255035.9125,12830.0275
mw58,4999,stand-alone-diesel,49.99,8198.36,3949.21
mw59,2110,grid,47.475,14384.925,2041.425
mw60,4566,stand-alone-photovoltaic,296.79,260878.41,20181.72
mw61,1746,stand-alone-photovoltaic,130.95,129509.55,13095
mw62,1289,grid,54.7825,19447.7875,1698.2575
mw63,2746,stand-alone-diesel,185.355,44485.2,16125.885
mw64,3872,stand-alone-photovoltaic,280.72,160010.4,14878.16
mw65,4794,stand-alone-diesel,11.985,2708.61,1078.65
mw66,590,grid,20.65,11502.05,578.2
