areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw1,536,mini-grid,12.06,6030,301.5
mw2,4667,solar,350.025,270919.35,17501.25
mw3,1321,Mini-grid,165.125,20805.75,7595.75
mw4,3292,grid,205.75,173035.75,11933.5
mw5,3510,stand-alone-diesel,324.675,276947.775,22402.575
mw6,4928,stand-alone-diesel,209.44,201900.16,18430.72
mw7,4368,stand-alone-photovoltaic,54.6,25116,5460
mw8,1635,mini-grid,106.275,51968.475,3932.175
mw9,1656,grid,169.74,75364.56,10184.4
mw10,3646,stand-alone-photovoltaic,118.495,29031.275,4147.325
mw11,2823,grid,63.5175,39952.5075,4382.7075
mw12,1746,stand-alone-diesel,117.855,32645.835,3417.795
mw13,2558,mini-grid,57.555,47425.32,1381.32
mw14,3079,stand-alone-diesel,254.0175,26925.855,21845.505
mw15,3185,grid,207.025,80532.725,19460.35
mw16,1729,mini-grid,185.8675,95721.7625,5576.025
mw17,1864,grid,18.64,10960.32,708.32
mw18,656,stand-alone-diesel,9.84,1033.2,285.36
mw19,2663,mini-grid,19.9725,2396.7,1078.515
mw20,4041,grid,464.715,464250.285,9759.015
mw21,2911,stand-alone-diesel,43.665,20478.885,3798.855
mw22,4520,grid,339,336966,20340
mw23,3600,stand-alone-diesel,153,103581,4590
mw24,4626,stand-alone-diesel,346.95,341051.85,24633.45
mw25,2300,mini-grid,235.75,68603.25,6129.5
mw26,2357,grid,282.84,74952.6,11879.28
mw27,1508,grid,124.41,48519.9,4105.53
mw28,1295,grid,48.5625,21901.6875,3253.6875
mw29,3685,stand-alone-diesel,432.9875,224287.525,35504.975
mw30,4764,stand-alone-photovoltaic,404.94,317068.02,31585.32
mw31,3584,stand-alone-photovoltaic,448,437696,44800
mw32,2407,mini-grid,222.6475,92176.065,8683.2525
mw33,3553,stand-alone-diesel,159.885,120873.06,10872.18
mw34,4538,stand-alone-diesel,260.935,246583.575,25310.695
mw35,3247,stand-alone-photovoltaic,349.0525,208035.29,13962.1
mw36,934,stand-alone-diesel,25.685,18313.405,1412.675
mw37,1443,grid,129.87,100779.12,4415.58
mw38,3562,grid,400.725,316172.025,14426.1
mw39,1712,stand-alone-photovoltaic,8.56,3355.52,727.6
mw40,852,stand-alone-photovoltaic,38.34,30825.36,3642.3
mw41,1452,stand-alone-diesel,163.35,24175.8,11271.15
mw42,2338,stand-alone-diesel,286.405,262633.385,9451.365
mw43,2322,grid,162.54,36083.88,9914.94
mw44,2424,stand-alone-diesel,66.66,26064.06,2533.08
mw45,2409,stand-alone-diesel,126.4725,120907.71,12141.36
mw46,2829,mini-grid,275.8275,224523.585,11860.5825
mw47,4170,mini-grid,281.475,102456.9,7881.3
mw48,2451,stand-alone-diesel,104.1675,80000.64,9166.74
mw49,3443,stand-alone-diesel,352.9075,50818.68,8822.6875
mw50,3375,stand-alone-photovoltaic,194.0625,183195,12808.125
mw51,2574,stand-alone-photovoltaic,109.395,82812.015,5250.96
mw52,915,grid,64.05,30487.8,5444.25
mw53,2263,stand-alone-photovoltaic,28.2875,18698.0375,650.6125
mw54,2930,mini-grid,271.025,51494.75,24121.225
mw55,1531,stand-alone-diesel,176.065,67256.83,9859.64
mw56,1471,grid,110.325,63657.525,3199.425
mw57,3383,stand-alone-photovoltaic,194.5225,159313.9275,7586.3775
mw58,4999,stand-alone-diesel,299.94,152669.46,29094.18
mw59,2110,grid,110.775,20604.15,3987.9
mw60,4566,stand-alone-photovoltaic,353.865,193210.29,7077.3
mw61,1746,stand-alone-photovoltaic,218.25,205155,9166.5
mw62,1289,grid,54.7825,52098.1575,1698.2575
mw63,2746,stand-alone-diesel,308.925,32128.2,8649.9
mw64,3872,stand-alone-photovoltaic,242,232078,22022
mw65,4794,stand-alone-diesel,503.37,134399.79,10067.4
mw66,590,grid,44.25,40090.5,1947
mw67,1710,stand-alone-photovoltaic,209.475,50902.425,10264.275
mw68,3743,grid,280.725,33687,22458
mw69,2334,stand-alone-photovoltaic,134.205,121589.73,7918.095
mw70,736,grid,80.96,41775.36,2347.84
mw71,595,mini-grid,56.525,33123.65,2430.575
mw72,2148,mini-grid,198.69,27419.22,17087.34
mw73,828,mini-grid,4.14,4040.64,136.62
mw74,1017,stand-alone-photovoltaic,7.6275,5377.3875,747.495
mw75,3663,stand-alone-photovoltaic,338.8275,273433.7925,13214.2725
mw76,3878,stand-alone-diesel,319.935,299139.225,12477.465
mw77,3618,stand-alone-diesel,45.225,36767.925,2170.8
mw78,1906,grid,57.18,49632.24,1257.96
mw79,4824,mini-grid,217.08,103330.08,4558.68
mw80,4607,stand-alone-photovoltaic,426.1475,164919.0825,11079.835
mw81,4802,stand-alone-photovoltaic,312.13,98633.08,8739.64
mw82,4029,grid,191.3775,98750.79,14736.0675
mw83,2335,stand-alone-photovoltaic,286.0375,215386.2375,11727.5375
mw84,3366,stand-alone-photovoltaic,345.015,184928.04,22080.96
mw85,534,stand-alone-photovoltaic,54.735,29009.55,2900.955
mw86,3176,grid,15.88,9337.44,460.52
mw87,4819,stand-alone-diesel,445.7575,382014.1775,31203.025
mw88,1493,stand-alone-diesel,63.4525,36167.925,4885.8425
mw89,1851,mini-grid,106.4325,69181.125,8088.87
mw90,636,stand-alone-diesel,57.24,46822.32,4922.64
mw91,4779,stand-alone-diesel,334.53,266285.88,11374.02
mw92,1676,stand-alone-diesel,125.7,37207.2,10558.8
mw93,1221,stand-alone-diesel,149.5725,90790.5075,10320.5025
mw94,4778,stand-alone-diesel,95.56,70045.48,3631.28
mw95,3571,stand-alone-photovoltaic,366.0275,191798.41,19765.485
mw96,1731,grid,190.41,43794.3,13138.29
mw97,3978,stand-alone-photovoltaic,487.305,338189.67,21441.42
mw98,4916,mini-grid,393.28,267823.68,39328
mw99,3338,mini-grid,50.07,44261.88,2753.85
mw100,679,stand-alone-photovoltaic,74.69,17850.91,2315.39
