areaId,population,MinimumTech,ElecPop,InvestmentCost,NewCapacity
mw1,536,mini-grid,12.06,6331.5,313.56
mw2,4667,solar,291.6875,281770.125,10792.4375
mw3,1321,Mini-grid,52.84,19815,2642
mw4,3292,grid,197.52,127597.92,10073.52
mw5,3510,stand-alone-diesel,438.75,232537.5,22815
mw6,4928,stand-alone-diesel,295.68,238022.4,18332.16
mw7,4368,stand-alone-photovoltaic,196.56,106928.64,9434.88
mw8,1635,mini-grid,20.4375,9973.5,1246.6875
mw9,1656,grid,37.26,3763.26,2272.86
mw10,3646,stand-alone-photovoltaic,428.405,146942.915,30416.755
mw11,2823,grid,254.07,69107.04,23374.44
mw12,1746,stand-alone-diesel,200.79,141958.53,9838.71
mw13,2558,mini-grid,313.355,287033.18,26635.175
mw14,3079,stand-alone-diesel,169.345,158676.265,8128.56
mw15,3185,grid,318.5,96187,28346.5
mw16,1729,mini-grid,146.965,91853.125,9552.725
mw17,1864,grid,69.9,28379.4,5592
mw18,656,stand-alone-diesel,78.72,53844.48,4565.76
mw19,2663,mini-grid,126.4925,28081.335,7463.0575
mw20,4041,grid,495.0225,102964.68,21285.9675
mw21,2911,stand-alone-diesel,152.8275,104381.1825,5348.9625
mw22,4520,grid,372.9,130142.1,26475.9
mw23,3600,stand-alone-diesel,126,80892,9324
mw24,4626,stand-alone-diesel,416.34,318083.76,34139.88
mw25,2300,mini-grid,287.5,95162.5,8337.5
mw26,2357,grid,111.9575,79601.7825,9740.3025
mw27,1508,grid,18.85,6239.35,659.75
mw28,1295,grid,84.175,36616.125,7828.275
mw29,3685,stand-alone-diesel,359.2875,312939.4125,15090.075
mw30,4764,stand-alone-photovoltaic,23.82,8575.2,1286.28
mw31,3584,stand-alone-photovoltaic,331.52,307650.56,24532.48
mw32,2407,mini-grid,276.805,138125.695,18269.13
mw33,3553,stand-alone-diesel,364.1825,56084.105,20758.4025
mw34,4538,stand-alone-diesel,226.9,162687.3,13387.1
mw35,3247,stand-alone-photovoltaic,259.76,85980.56,15325.84
mw36,934,stand-alone-diesel,109.745,82857.475,7682.15
mw37,1443,grid,54.1125,9686.1375,2597.4
mw38,3562,grid,240.435,147146.22,12262.185
mw39,1712,stand-alone-photovoltaic,68.48,10751.36,3560.96
mw40,852,stand-alone-photovoltaic,93.72,34020.36,2905.32
mw41,1452,stand-alone-diesel,145.2,103527.6,5372.4
mw42,2338,stand-alone-diesel,163.66,21603.12,13911.1
mw43,2322,grid,162.54,67291.56,3575.88
mw44,2424,stand-alone-diesel,212.1,80810.1,14210.7
mw45,2409,stand-alone-diesel,162.6075,134313.795,8130.375
mw46,2829,mini-grid,134.3775,84523.4475,10884.5775
mw47,4170,mini-grid,93.825,40157.1,9101.025
mw48,2451,stand-alone-diesel,134.805,94498.305,11862.84
mw49,3443,stand-alone-diesel,120.505,118335.91,7712.32
mw50,3375,stand-alone-photovoltaic,312.1875,172327.5,20292.1875
mw51,2574,stand-alone-photovoltaic,257.4,102445.2,21106.8
mw52,915,grid,20.5875,4282.2,1544.0625
mw53,2263,stand-alone-photovoltaic,277.2175,209021.995,16910.2675
mw54,2930,mini-grid,322.3,308441.1,32230
mw55,1531,stand-alone-diesel,122.48,115376.16,8451.12
mw56,1471,grid,33.0975,29556.0675,2879.4825
mw57,3383,stand-alone-photovoltaic,50.745,37602.045,2587.995
mw58,4999,stand-alone-diesel,574.885,399545.075,25869.825
mw59,2110,grid,189.9,38739.6,18230.4
mw60,4566,stand-alone-photovoltaic,194.055,110029.185,9120.585
mw61,1746,stand-alone-photovoltaic,13.095,12296.205,274.995
mw62,1289,grid,112.7875,100268.0875,4398.7125
mw63,2746,stand-alone-diesel,130.435,49304.43,11739.15
mw64,3872,stand-alone-photovoltaic,416.24,238505.52,41624
mw65,4794,stand-alone-diesel,539.325,59865.075,32359.5
mw66,590,grid,59,20945,3186
mw67,1710,stand-alone-photovoltaic,213.75,180618.75,14962.5
mw68,3743,grid,346.2275,128450.4025,15580.2375
mw69,2334,stand-alone-photovoltaic,75.855,49229.895,3944.46
mw70,736,grid,9.2,6844.8,358.8
mw71,595,mini-grid,22.3125,18385.5,1851.9375
mw72,2148,mini-grid,26.85,11760.3,805.5
mw73,828,mini-grid,82.8,73940.4,3477.6
mw74,1017,stand-alone-photovoltaic,81.36,50199.12,1871.28
mw75,3663,stand-alone-photovoltaic,82.4175,46648.305,1648.35
mw76,3878,stand-alone-diesel,38.78,12293.26,3373.86
mw77,3618,stand-alone-diesel,171.855,98816.625,6530.49
mw78,1906,grid,100.065,41727.105,9606.24
mw79,4824,mini-grid,530.64,509414.4,35022.24
mw80,4607,stand-alone-photovoltaic,552.84,337232.4,30959.04
