area_id,population,least_cost_electrification_technology,new_connections,investiment_required,capacity_added
mw1,536,mini-grid,28.14,25579.26,1632.12
mw2,4667,solar,70.005,30592.185,5250.375
mw3,1321,Mini-grid,26.42,25680.24,2113.6
mw4,3292,grid,41.15,37158.45,3127.4
mw5,3510,stand-alone-diesel,175.5,122850,7195.5
mw6,4928,stand-alone-diesel,320.32,112112,23383.36
mw7,4368,stand-alone-photovoltaic,262.08,228795.84,19393.92
mw8,1635,mini-grid,28.6125,26123.2125,2403.45
mw9,1656,grid,144.9,35065.8,7534.8
mw10,3646,stand-alone-photovoltaic,373.715,159576.305,11585.165
mw11,2823,grid,63.5175,10099.2825,4573.26
mw12,1746,stand-alone-diesel,196.425,33981.525,4910.625
mw13,2558,mini-grid,19.185,18225.75,1400.505
mw14,3079,stand-alone-diesel,184.74,50434.02,18289.26
mw15,3185,grid,191.1,137783.1,18345.6
mw16,1729,mini-grid,133.9975,21439.6,8441.8425
mw17,1864,grid,121.16,63730.16,11994.84
mw18,656,stand-alone-diesel,59.04,18656.64,1357.92
mw19,2663,mini-grid,86.5475,39379.1125,5539.04
mw20,4041,grid,353.5875,165832.5375,33237.225
mw21,2911,stand-alone-diesel,101.885,41467.195,5399.905
mw22,4520,grid,395.5,170460.5,26498.5
mw23,3600,stand-alone-diesel,225,47925,21825
mw24,4626,stand-alone-diesel,150.345,36533.835,14132.43
mw25,2300,mini-grid,241.5,187645.5,9660
mw26,2357,grid,94.28,40917.52,7071
mw27,1508,grid,135.72,22665.24,13164.84
mw28,1295,grid,139.2125,33271.7875,3201.8875
mw29,3685,stand-alone-diesel,230.3125,102719.375,8291.25
mw30,4764,stand-alone-photovoltaic,428.76,381167.64,34729.56
mw31,3584,stand-alone-photovoltaic,80.64,42174.72,3225.6
mw32,2407,mini-grid,168.49,127041.46,3538.29
mw33,3553,stand-alone-diesel,293.1225,287846.295,15242.37
mw34,4538,stand-alone-diesel,102.105,93323.97,7147.35
mw35,3247,stand-alone-photovoltaic,73.0575,65021.175,4748.7375
mw36,934,stand-alone-diesel,70.05,9596.85,6094.35
mw37,1443,grid,104.6175,83798.6175,8264.7825
mw38,3562,grid,382.915,312075.725,15316.6
mw39,1712,stand-alone-photovoltaic,34.24,24858.24,3389.76
mw40,852,stand-alone-photovoltaic,12.78,1393.02,907.38
mw41,1452,stand-alone-diesel,83.49,64704.75,8182.02
mw42,2338,stand-alone-diesel,233.8,37875.6,6546.4
mw43,2322,grid,92.88,75232.8,7987.68
mw44,2424,stand-alone-diesel,84.84,36141.84,5090.4
mw45,2409,stand-alone-diesel,12.045,10972.995,542.025
mw46,2829,mini-grid,297.045,136937.745,9208.395
mw47,4170,mini-grid,114.675,92428.05,8944.65
mw48,2451,stand-alone-diesel,128.6775,91232.3475,5919.165
mw49,3443,stand-alone-diesel,94.6825,43648.6325,1893.65
mw50,3375,stand-alone-photovoltaic,421.875,316828.125,32062.5
mw51,2574,stand-alone-photovoltaic,32.175,20109.375,1512.225
mw52,915,grid,48.0375,10280.025,1921.5
mw53,2263,stand-alone-photovoltaic,107.4925,14833.965,8814.385
mw54,2930,mini-grid,351.6,317846.4,16876.8
mw55,1531,stand-alone-diesel,42.1025,41218.3475,3115.585
mw56,1471,grid,183.875,138274,14893.875
mw57,3383,stand-alone-photovoltaic,169.15,158662.7,11333.05
mw58,4999,stand-alone-diesel,24.995,4074.185,1249.75
mw59,2110,grid,94.95,86879.25,8070.75
mw60,4566,stand-alone-photovoltaic,308.205,135610.2,23731.785
mw61,1746,stand-alone-photovoltaic,87.3,44610.3,4801.5
mw62,1289,grid,116.01,83759.22,3480.3
mw63,2746,stand-alone-diesel,240.275,153055.175,6006.875
mw64,3872,stand-alone-photovoltaic,58.08,10512.48,4762.56
mw65,4794,stand-alone-diesel,443.445,90019.335,23059.14
