area_id,population,least_cost_electrification_technology,new_connections,investiment_required,capacity_added
mw1,536,mini-grid,60.3,45526.5,3859.2
mw2,4667,solar,46.67,34302.45,1073.41
mw3,1321,Mini-grid,19.815,2873.175,752.97
mw4,3292,grid,304.51,61206.51,24665.31
mw5,3510,stand-alone-diesel,307.125,58046.625,26105.625
mw6,4928,stand-alone-diesel,73.92,11679.36,3769.92
mw7,4368,stand-alone-photovoltaic,382.2,61152,9937.2
mw8,1635,mini-grid,61.3125,58676.0625,4598.4375
mw9,1656,grid,111.78,48065.4,5253.66
mw10,3646,stand-alone-photovoltaic,355.485,50123.385,28438.8
mw11,2823,grid,261.1275,240759.555,7050.4425
mw12,1746,stand-alone-diesel,52.38,49656.24,1571.4
mw13,2558,mini-grid,102.32,33663.28,8287.92
mw14,3079,stand-alone-diesel,30.79,30636.05,2617.15
mw15,3185,grid,326.4625,245499.8,20567.1375
mw16,1729,mini-grid,146.965,46000.045,7936.11
mw17,1864,grid,158.44,114869,6496.04
mw18,656,stand-alone-diesel,60.68,45692.04,4551
mw19,2663,mini-grid,252.985,171523.83,5312.685
mw20,4041,grid,414.2025,325563.165,34793.01
mw21,2911,stand-alone-diesel,276.545,113383.45,13274.16
mw22,4520,grid,485.9,166177.8,34498.9
mw23,3600,stand-alone-diesel,441,236376,26460
mw24,4626,stand-alone-diesel,566.685,317343.6,20400.66
mw25,2300,mini-grid,138,127374,8832
mw26,2357,grid,271.055,40387.195,6234.265
mw27,1508,grid,33.93,9432.54,1085.76
mw28,1295,grid,129.5,72520,8676.5
mw29,3685,stand-alone-diesel,340.8625,287347.0875,14997.95
mw30,4764,stand-alone-photovoltaic,190.56,151685.76,11052.48
mw31,3584,stand-alone-photovoltaic,322.56,142894.08,31610.88
mw32,2407,mini-grid,186.5425,154457.19,15483.0275
mw33,3553,stand-alone-diesel,8.8825,3632.9425,843.8375
mw34,4538,stand-alone-diesel,90.76,44018.6,6807
mw35,3247,stand-alone-photovoltaic,202.9375,200908.125,11770.375
mw36,934,stand-alone-diesel,67.715,9141.525,6026.635
mw37,1443,grid,36.075,36002.85,2020.2
mw38,3562,grid,26.715,6331.455,2030.34
mw39,1712,stand-alone-photovoltaic,111.28,85685.6,6676.8
mw40,852,stand-alone-photovoltaic,83.07,71107.92,5565.69
mw41,1452,stand-alone-diesel,119.79,28030.86,2874.96
mw42,2338,stand-alone-diesel,233.8,98897.4,5845
mw43,2322,grid,69.66,21664.26,3691.98
