area_id,population,least_cost_electrification_technology,new_connections,investiment_required,capacity_added
mw1,536,mini-grid,57.62,10025.88,2247.18
mw2,4667,solar,490.035,168572.04,35772.555
mw3,1321,Mini-grid,92.47,84147.7,5640.67
mw4,3292,grid,123.45,49009.65,4444.2
mw5,3510,stand-alone-diesel,342.225,296366.85,9240.075
mw6,4928,stand-alone-diesel,283.36,135162.72,19551.84
mw7,4368,stand-alone-photovoltaic,393.12,68009.76,23194.08
mw8,1635,mini-grid,192.1125,39575.175,5763.375
mw9,1656,grid,198.72,168315.84,7551.36
mw10,3646,stand-alone-photovoltaic,63.805,44408.28,3764.495
mw11,2823,grid,268.185,125510.58,7240.995
mw12,1746,stand-alone-diesel,130.95,46487.25,10345.05
mw13,2558,mini-grid,204.64,52592.48,12687.68
mw14,3079,stand-alone-diesel,92.37,32791.35,9237
mw15,3185,grid,199.0625,127001.875,4976.5625
mw16,1729,mini-grid,82.1275,33425.8925,7884.24
mw17,1864,grid,186.4,77169.6,14912
mw18,656,stand-alone-diesel,26.24,5195.52,2309.12
mw19,2663,mini-grid,206.3825,182648.5125,19812.72
mw20,4041,grid,323.28,288042.48,9051.84
mw21,2911,stand-alone-diesel,123.7175,48002.39,3711.525
mw22,4520,grid,553.7,380391.9,21040.6
mw23,3600,stand-alone-diesel,261,164169,11223
mw24,4626,stand-alone-diesel,566.685,231207.48,35134.47
mw25,2300,mini-grid,230,207000,9430
mw26,2357,grid,41.2475,40670.035,1938.6325
mw27,1508,grid,3.77,2608.84,86.71
mw28,1295,grid,135.975,33585.825,4351.2
mw29,3685,stand-alone-diesel,368.5,145189,7370
mw30,4764,stand-alone-photovoltaic,547.86,384597.72,36158.76
mw31,3584,stand-alone-photovoltaic,286.72,75120.64,15769.6
mw32,2407,mini-grid,90.2625,14803.05,7852.8375
mw33,3553,stand-alone-diesel,275.3575,254154.9725,8811.44
mw34,4538,stand-alone-diesel,249.59,62647.09,16223.35
mw35,3247,stand-alone-photovoltaic,332.8175,94852.9875,24628.495
mw36,934,stand-alone-diesel,9.34,1783.94,298.88
mw37,1443,grid,180.375,122474.625,13167.375
mw38,3562,grid,106.86,52468.26,9831.12
mw39,1712,stand-alone-photovoltaic,145.52,92550.72,5820.8
mw40,852,stand-alone-photovoltaic,42.6,30586.8,3322.8
mw41,1452,stand-alone-diesel,25.41,7445.13,1397.55
mw42,2338,stand-alone-diesel,146.125,131804.75,11836.125
mw43,2322,grid,238.005,108054.27,18802.395
mw44,2424,stand-alone-diesel,230.28,124120.92,15198.48
mw45,2409,stand-alone-diesel,277.035,124665.75,21608.73
mw46,2829,mini-grid,120.2325,114461.34,6011.625
mw47,4170,mini-grid,406.575,339896.7,17482.725
mw48,2451,stand-alone-diesel,275.7375,72243.225,22886.2125
mw49,3443,stand-alone-diesel,51.645,37236.045,2375.67
mw50,3375,stand-alone-photovoltaic,236.25,73710,10631.25
mw51,2574,stand-alone-photovoltaic,238.095,144047.475,9523.8
mw52,915,grid,75.4875,13361.2875,4378.275
mw53,2263,stand-alone-photovoltaic,277.2175,135282.14,7207.655
mw54,2930,mini-grid,219.75,85482.75,6592.5
mw55,1531,stand-alone-diesel,76.55,20515.4,5970.9
mw56,1471,grid,176.52,95850.36,7413.84
mw57,3383,stand-alone-photovoltaic,101.49,75102.6,4364.07
mw58,4999,stand-alone-diesel,249.95,245950.8,18746.25
mw59,2110,grid,158.25,92576.25,12185.25
mw60,4566,stand-alone-photovoltaic,399.525,163405.725,18378.15
mw61,1746,stand-alone-photovoltaic,170.235,35579.115,6298.695
mw62,1289,grid,141.79,141081.05,3119.38
mw63,2746,stand-alone-diesel,164.76,48604.2,13345.56
mw64,3872,stand-alone-photovoltaic,67.76,21954.24,2439.36
mw65,4794,stand-alone-diesel,539.325,379145.475,10786.5
mw66,590,grid,73.75,32450,6563.75
mw67,1710,stand-alone-photovoltaic,38.475,21276.675,3732.075
mw68,3743,grid,84.2175,16927.7175,2694.96
mw69,2334,stand-alone-photovoltaic,175.05,33084.45,16279.65
mw70,736,grid,40.48,23033.12,2509.76
mw71,595,mini-grid,7.4375,6887.125,282.625
mw72,2148,mini-grid,32.22,7926.12,2352.06
mw73,828,mini-grid,93.15,40147.65,7358.85
mw74,1017,stand-alone-photovoltaic,127.125,115175.25,10424.25
mw75,3663,stand-alone-photovoltaic,457.875,395604,16025.625
mw76,3878,stand-alone-diesel,96.95,82116.65,4944.45
mw77,3618,stand-alone-diesel,434.16,76412.16,40376.88
mw78,1906,grid,95.3,80623.8,2001.3
mw79,4824,mini-grid,168.84,86783.76,7091.28
mw80,4607,stand-alone-photovoltaic,575.875,248202.125,51828.75
mw81,4802,stand-alone-photovoltaic,492.205,143231.655,33962.145
mw82,4029,grid,382.755,179129.34,29089.38
mw83,2335,stand-alone-photovoltaic,151.775,97287.775,5160.35
mw84,3366,stand-alone-photovoltaic,50.49,41957.19,1211.76
mw85,534,stand-alone-photovoltaic,65.415,51939.51,4382.805
mw86,3176,grid,238.2,115050.6,10004.4
mw87,4819,stand-alone-diesel,518.0425,196856.15,13987.1475
mw88,1493,stand-alone-diesel,130.6375,101374.7,5617.4125
mw89,1851,mini-grid,69.4125,33318,4720.05
mw90,636,stand-alone-diesel,60.42,9969.3,2356.38
mw91,4779,stand-alone-diesel,477.9,360336.6,43966.8
mw92,1676,stand-alone-diesel,150.84,103023.72,12972.24
mw93,1221,stand-alone-diesel,18.315,8736.255,1062.27
mw94,4778,stand-alone-diesel,513.635,450457.895,22599.94
mw95,3571,stand-alone-photovoltaic,187.4775,82677.5775,12373.515
mw96,1731,grid,129.825,72831.825,12852.675
mw97,3978,stand-alone-photovoltaic,228.735,75482.55,11436.75
mw98,4916,mini-grid,319.54,171912.52,12462.06
mw99,3338,mini-grid,333.8,229320.6,12684.4
mw100,679,stand-alone-photovoltaic,10.185,2882.355,600.915
