IsUrban,NTLBin,NTLArea,X_deg,Y_deg,GridCellArea,ID,Pop,Elevation,LandCover,NightLights,Slope,GHI,TravelHours,WindVel,SubstationDist,RoadDist,CurrentMVLineDist,PlannedMVLinedist,Hydropower,HydropowerFID,HydropowerDist,X,Y,CurrentHVLineDist,PlannedHVLineDist,TransformerDist,ResidentialDemandTierCustom,NTLBin.1,PerCapitaDemand,HealthDemand,EducationDemand,AgriDemand,ElectrificationOrder,Conflict,CommercialDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,Country,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,PopEndYear,Pop2023,Pop2030,Pop2018,ElecPop,ElecPopCalib,ElecStart,GridDistCalibElec,Elec_Initial_Status_Grid2018,Elec_Init_Status_Offgrid2018,Actual_Elec_Status_2018,FinalElecCode2018,GridReachYear,NumPeoplePerHH,TotalEnergyPerCell,InvestmentCostLV2030,InvestmentCostMV2030,InvestmentCostHV2030,InvestmentCostTransformer2030,InvestmentCostConnection2030,InfrastructureCapitaCost2030,ResultsNoTimestep,NewConnections2023,EnergyPerSettlement2023,MG_Hydro2023,MG_PV2023,MG_Wind2023,MG_Diesel2023,SA_Diesel2023,SA_PV2023,Minimum_Tech_Off_grid2023,Minimum_LCOE_Off_grid2023,Off_Grid_Code2023,Elec_Initial_Status_Grid2023,Elec_Init_Status_Offgrid2023,Actual_Elec_Status_2023,Grid_extension2023,MinGridDist2023,ElectrificationOrder2023,MinimumOverall2023,MinimumOverallLCOE2023,MinimumOverallCode2023,InvestmentCost2023,InvestmentCapita2023,ElecStatusIn2023,GridElecIn2023,OffGridElecIn2023,FinalElecCode2023,NewCapacity2023,InvestmentCostLV2023,InvestmentCostMV2023,InvestmentCostHV2023,InvestmentCostTransformer2023,InvestmentCostConnection2023,InfrastructureCapitaCost2023,NewConnections2030,EnergyPerSettlement2030,MG_Hydro2030,MG_PV2030,MG_Wind2030,MG_Diesel2030,SA_Diesel2030,SA_PV2030,Minimum_Tech_Off_grid2030,Minimum_LCOE_Off_grid2030,Off_Grid_Code2030,Elec_Initial_Status_Grid2030,Elec_Init_Status_Offgrid2030,Actual_Elec_Status_2030,Grid_extension2030,MinGridDist2030,ElectrificationOrder2030,MinimumOverall2030,MinimumOverallLCOE2030,MinimumOverallCode2030,InvestmentCost2030,ElecStatusIn2030,GridElecIn2030,OffGridElecIn2030,FinalElecCode2030,NewCapacity2030
0,0,0.04,33.19864,-13.59259,0.008,168913,8.652025532,1089,9,0.04,0.34881,2070,1.83333,4.94406,67.46802,4.92517,4.72437,4.72437,221,2216,19.97468,3269415.433,-1674603.793,16.48073952,16.48073951,4.50778,50.44444444,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.074442738,9.699956951,13.97159316,11.2927971,13.97159316,9.699956951,0,0,0,4.50778,0,0,0,1,2018,5.5,611.9557804,0,0,0,0,0,0,3,11.2927971,494.624513,1,1.273105545,1,1.728136433,0.786683143,0.371524435,SA_PV2023,0.371524435,3,0,0,0,1,0,0,SA_PV2023,0.371524435,3,1460.244134,129.3075684,0,0,0,1,0,0,0,0,0,0,0,13.97159316,611.9557804,1,1.094914681,1,1.547056248,0.782816711,0.380788862,SA_PV2030,0.380788862,3,0,0,1,1,0,0,SA_PV2030,0.380788862,3,1229.563885,1,0,1,3,0.32847868
0,0,0.04,33.19864,-13.89009,0.008,168962,12.50177362,1083,8,0.04,0.49523,2049,0.81667,4.64122,51.85526,3.11925,3.38266,3.38266,221,2216,17.92459,3266851.533,-1710982.021,9.21246083,2.43019963,3.50756,156.7777778,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,2,3,5,3.3,1.06063919,0.059135376,14.01598568,20.1883009,16.31756545,20.1883009,14.01598568,0,0,0,3.50756,0,0,0,1,2018,5.5,884.2475794,0,0,0,0,0,0,3,16.31756545,714.7093667,1,0.967742812,1,1.396700523,0.735566694,0.375332152,SA_PV2023,0.375332152,3,0,0,0,1,0,0,SA_PV2023,0.375332152,3,2131.609737,130.632829,0,0,0,1,0,0,0,0,0,0,0,20.1883009,884.2475794,1,0.843871536,1,1.270819724,0.731700263,0.38469153,SA_PV2030,0.38469153,3,0,0,1,1,0,0,SA_PV2030,0.38469153,3,1794.871344,1,0,1,3,0.479500884
0,0,0.04,33.19864,-13.43092,0.008,168967,12.67048596,1071,9,0.04,0.45322,2074,2.18333,4.83703,53.44512,4.8733,3.4824,3.4824,221,2216,36.74021,3270785.277,-1654827.886,6.96620576,6.96620576,5.31555,102,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.068861209,14.20513242,20.46074348,16.53777218,20.46074348,14.20513242,0,0,0,5.31555,0,0,0,1,2018,5.5,896.1805644,0,0,0,0,0,0,3,16.53777218,724.3544215,1,0.956407973,1,1.389587848,0.804280724,0.370807898,SA_PV2023,0.370807898,3,0,0,0,1,0,0,SA_PV2023,0.370807898,3,2134.33479,129.0581806,0,0,0,1,0,0,0,0,0,0,0,20.46074348,896.1805644,1,0.834140579,1,1.265364037,0.800414292,0.380054457,SA_PV2030,0.380054457,3,0,0,1,1,0,0,SA_PV2030,0.380054457,3,1797.165909,1,0,1,3,0.480113878
0,0,0.04,33.19864,-13.78509,0.008,169022,14.08962128,1097,9,0.04,0.51069,2052,1.48333,4.90814,55.66936,1.56864,2.53453,2.53453,221,2216,10.06459,3267762.818,-1698144.664,2.39899629,2.39899629,2.7032,160,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.07254942,15.79615309,22.75241278,18.39005604,22.75241278,15.79615309,0,0,0,2.7032,0,0,0,1,2018,5.5,996.5556798,0,0,0,0,0,0,3,18.39005604,805.4844546,1,0.889061404,1,1.313964177,0.769085561,0.374783421,SA_PV2023,0.374783421,3,0,0,0,1,0,0,SA_PV2023,0.374783421,3,2398.832846,130.4418454,0,0,0,1,0,0,0,0,0,0,0,22.75241278,996.5556798,1,0.778997467,1,1.202119586,0.76521913,0.384129115,SA_PV2030,0.384129115,3,0,0,1,1,0,0,SA_PV2030,0.384129115,3,2019.880213,1,0,1,3,0.539612129
0,0,0.08001,33.19864,-13.49301,0.017,169023,14.20831404,1102,9,0.08001,0.67103,2076,1.95,4.91721,59.17659,1.6799,1.89997,1.89997,221,2216,30.14998,3270261.179,-1662422.848,10.62013374,10.62013374,2.48136,102,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.073025599,15.92922189,22.944082,18.5449762,22.944082,15.92922189,0,0,0,2.48136,0,0,0,1,2018,5.5,1004.950792,0,0,0,0,0,0,3,18.5449762,812.2699576,1,0.92947803,1,1.360405917,0.792549171,0.370450665,SA_PV2023,0.370450665,3,0,0,0,1,0,0,SA_PV2023,0.370450665,3,2391.075127,128.9338471,0,0,0,1,0,0,0,0,0,0,0,22.944082,1004.950792,1,0.815313505,1,1.244650215,0.788682739,0.379688316,SA_PV2030,0.379688316,3,0,0,1,1,0,0,SA_PV2030,0.379688316,3,2013.348011,1,0,1,3,0.537867048
0,0,0.08001,33.19864,-13.92968,0.017,169026,16.11557447,1100,14,0.08001,0.51139,2047,0.65,4.75448,51.03349,1.21069,0.54147,0.54147,221,2216,21.77804,3266506.187,-1715820.924,13.58976714,6.72009845,1.46143,137.4444444,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.064682393,18.06748929,26.02399279,21.03437074,26.02399279,18.06748929,0,0,0,1.46143,0,0,0,1,2018,5.5,1139.850884,0,0,0,0,0,0,3,21.03437074,921.3054384,1,0.855762584,1,1.276091151,0.727186726,0.375698867,SA_PV2023,0.375698867,3,0,0,0,1,0,0,SA_PV2023,0.375698867,3,2750.464046,130.7604625,0,0,0,1,0,0,0,0,0,0,0,26.02399279,1139.850884,1,0.754801516,1,1.173707676,0.723320295,0.385067388,SA_PV2030,0.385067388,3,0,0,1,1,0,0,SA_PV2030,0.385067388,3,2315.962913,1,0,1,3,0.618710788
0,0,0.08001,33.19864,-13.98968,0.017,169030,24.46702894,1100,8,0.08001,0.50325,2045,1.48333,4.61217,50.49154,6.16708,6.07277,6.07277,221,2216,27.91646,3265980.828,-1723155.079,20.2249065,13.22410456,6.10324,132.6111111,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,4,1,2,3,5,3.15,1.052183214,0.05774839,27.43047007,39.51021329,31.93485646,39.51021329,27.43047007,0,0,0,6.10324,0,0,0,1,2018,5.5,1730.547342,0,0,0,0,0,0,3,31.93485646,1398.746713,1,0.659553406,1,1.067209433,0.769085561,0.376066298,SA_PV2023,0.376066298,3,0,0,0,1,0,0,SA_PV2023,0.376066298,3,4179.900528,130.8883456,0,0,0,1,0,0,0,0,0,0,0,39.51021329,1730.547342,1,0.592342976,1,0.999069327,0.76521913,0.385443982,SA_PV2030,0.385443982,3,0,0,1,1,0,0,SA_PV2030,0.385443982,3,3519.585947,1,0,1,3,0.940259355
0,0,0.04,33.19864,-13.35759,0.008,169031,27.49068511,1047,9,0.04,0.20109,2080,2.66667,5.06673,47.06888,5.71166,2.95306,2.95306,3862,12100,45.60929,3271401.212,-1645855.688,2.64796707,2.64796707,2.99278,102,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,4,1,5,3,5,3.75,1.093553159,0.081056389,30.82035081,44.39291893,35.88139309,44.39291893,30.82035081,0,0,0,2.99278,0,0,0,1,2018,5.5,1944.409849,0,0,0,0,0,0,3,35.88139309,1571.605017,1,0.581510851,1,0.989075326,0.828582481,0.36973826,SA_PV2023,0.36973826,3,0,0,0,1,0,0,SA_PV2023,0.36973826,3,4617.429271,128.6858974,0,0,0,1,0,0,0,0,0,0,0,44.39291893,1944.409849,1,0.52480531,1,0.931466453,0.824716049,0.378958146,SA_PV2030,0.378958146,3,0,0,1,1,0,0,SA_PV2030,0.378958146,3,3887.996631,1,0,1,3,1.038680475
0,0,0.08001,33.19864,-13.77968,0.017,169063,39.13907234,1088,9,0.08001,0.58473,2053,1.46667,4.81439,55.92455,2.0839,2.86191,2.86191,221,2216,9.86247,3267809.64,-1697482.359,2.99818608,2.99818608,3.05234,160,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.067704,43.87958813,63.20314167,51.08510152,63.20314167,43.87958813,0,0,0,3.05234,0,0,0,1,2018,5.5,2768.297605,0,0,0,0,0,0,3,51.08510152,2237.527447,1,0.512775683,1,0.910497264,0.768247916,0.374600867,SA_PV2023,0.374600867,3,0,0,0,1,0,0,SA_PV2023,0.374600867,3,6660.389109,130.3783082,0,0,0,1,0,0,0,0,0,0,0,63.20314167,2768.297605,1,0.470336419,1,0.867477319,0.764381485,0.383942009,SA_PV2030,0.383942009,3,0,0,1,1,0,0,SA_PV2030,0.383942009,3,5608.222433,1,0,1,3,1.49823976
0,0,0.08001,33.19864,-13.54384,0.017,169064,43.09533191,1117,9,0.08001,0.49159,2077,1.73333,4.73634,71.16051,1.71299,1.4012,1.4012,221,2216,24.86638,3269830.241,-1668640.979,13.61216567,13.61216567,2.29447,76.32407407,0,43.8,0,0,0,0,0,0,7.738,43.8,160.6,423.4,598.6,Malawi,5,1,5,3,5,3.9,1.107634822,0.063779274,48.31502898,69.59184787,56.24889079,69.59184787,48.31502898,0,0,0,2.29447,0,0,0,1,2018,5.5,3048.122937,0,0,0,0,0,0,3,56.24889079,2463.701417,1,0.487914211,1,0.886522938,0.781655262,0.370272306,SA_PV2023,0.370272306,3,0,0,0,1,0,0,SA_PV2023,0.370272306,3,7248.894127,128.8717702,0,0,0,1,0,0,0,0,0,0,0,69.59184787,3048.122937,1,0.44928856,1,0.847391792,0.777788831,0.37950551,SA_PV2030,0.37950551,3,0,0,1,1,0,0,SA_PV2030,0.37950551,3,6103.759104,1,0,1,3,1.630622659
